Date&Time;app1_conc [mg/l];app1_h [m];app1_t_water [C];Anomalietyp
19.10.2023 15:23;131,6;0,543;17,7;
19.10.2023 15:24;130;0,552;17,7;
19.10.2023 15:24;136,6;0,558;17,7;
19.10.2023 15:25;142,4;0,566;17,7;
19.10.2023 15:25;145,6;0,574;17,7;
19.10.2023 15:26;156,2;0,58;17,7;
19.10.2023 15:26;161,7;0,585;17,7;
19.10.2023 15:27;145,5;0,594;17,7;
19.10.2023 15:27;141,8;0,601;17,7;
19.10.2023 15:28;165,2;0,608;17,7;
19.10.2023 15:28;201,6;0,614;17,7;
19.10.2023 15:29;205,5;0,621;17,7;
19.10.2023 15:29;209,7;0,627;17,7;
19.10.2023 15:30;232,6;0,634;17,7;
19.10.2023 15:30;200,8;0,64;17,7;
19.10.2023 15:31;173,3;0,646;17,7;
19.10.2023 15:31;190,4;0,653;17,7;
19.10.2023 15:32;185,7;0,661;17,7;
19.10.2023 15:32;196,9;0,668;17,7;
19.10.2023 15:33;216,5;0,675;17,7;
19.10.2023 15:33;224,9;0,684;17,7;
19.10.2023 15:34;1142,6;0,691;17,7;F
19.10.2023 15:34;674,2;0,7;17,7;F
19.10.2023 15:35;233,7;0,708;17,7;
19.10.2023 15:35;246,7;0,717;17,7;
19.10.2023 15:36;257,3;0,724;17,7;
19.10.2023 15:36;261,5;0,734;17,7;
19.10.2023 15:37;239,6;0,741;17,7;
19.10.2023 15:37;193;0,749;17,7;
19.10.2023 15:38;168,5;0,757;17,7;
19.10.2023 15:38;179,3;0,764;17,7;
19.10.2023 15:39;172,4;0,773;17,7;
19.10.2023 15:39;163;0,78;17,6;
19.10.2023 15:40;176,8;0,788;17,6;
19.10.2023 15:40;193,7;0,795;17,6;
19.10.2023 15:41;192,9;0,803;17,6;
19.10.2023 15:41;204,7;0,81;17,6;
19.10.2023 15:42;173,1;0,817;17,6;
19.10.2023 15:42;2352,8;0,826;17,6;F
19.10.2023 15:43;1471,7;0,832;17,6;F
19.10.2023 15:43;178,7;0,841;17,6;
19.10.2023 15:44;167,2;0,849;17,6;
19.10.2023 15:44;176,2;0,857;17,6;
19.10.2023 15:45;203,9;0,865;17,6;
19.10.2023 15:45;191,5;0,873;17,6;
